City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Kaitangata,NZ,2021-08-03 00:04:30,-46.2817,169.8464,49.93,53,100,11.34
128,Narsaq,GL,2021-08-03 00:04:30,60.9167,-46.05,50.22,97,81,5.59
129,Baykit,RU,2021-08-03 00:04:31,61.67,96.37,64.81,68,100,5.32
130,Genhe,CN,2021-08-03 00:04:31,50.7833,121.5167,68.49,67,7,2.44
131,Calvinia,ZA,2021-08-03 00:04:31,-31.4707,19.776,54.86,28,0,8.7
132,Nishihara,JP,2021-08-03 00:04:32,26.1842,127.7558,83.86,84,40,17.27
133,Taoudenni,ML,2021-08-03 00:04:32,22.6783,-3.9836,95.14,30,77,9.75
134,Dese,ET,2021-08-03 00:04:33,11.1333,39.6333,56.05,78,100,2.04
135,Port Blair,IN,2021-08-03 00:04:33,11.6667,92.75,80.2,84,99,22.5
136,Punta Arenas,CL,2021-08-03 00:01:38,-53.15,-70.9167,37.11,86,63,25.21
137,Atasu,KZ,2021-08-03 00:04:34,48.6814,71.6433,71.58,44,34,8.55
138,Matara,LK,2021-08-03 00:04:34,5.9485,80.5353,77.68,88,100,11.34
139,Haines Junction,CA,2021-08-03 00:04:35,60.7522,-137.5108,74.98,45,96,4.43
140,Lagoa Da Prata,BR,2021-08-03 00:04:35,-20.0225,-45.5436,67.55,47,50,2.91
141,Salinas,US,2021-08-03 00:02:28,36.6777,-121.6555,88.61,61,1,12.66
142,Atuona,PF,2021-08-03 00:04:36,-9.8,-139.0333,77.45,74,12,18.63
143,Naze,JP,2021-08-03 00:04:36,28.3667,129.4833,78.78,85,77,16.8
144,Yarim,YE,2021-08-03 00:00:05,14.298,44.3779,59.25,62,100,3.6
145,Tilzapotla,MX,2021-08-03 00:04:37,18.4833,-99.2667,85.37,68,18,2.86
146,Talnakh,RU,2021-08-03 00:04:37,69.4865,88.3972,70.99,51,98,5.01
147,Bathsheba,BB,2021-08-03 00:04:38,13.2167,-59.5167,81.21,78,20,8.05
148,Baker City,US,2021-08-03 00:04:38,44.7749,-117.8344,91.15,29,1,6.91
149,Puro,PH,2021-08-03 00:04:39,12.4841,123.3827,84.69,76,100,21.52
150,Ust-Nera,RU,2021-08-03 00:04:39,64.5667,143.2,59.18,40,0,4.61
151,Methven,NZ,2021-08-03 00:04:40,-43.6333,171.65,44.02,74,100,14.16
152,Kununurra,AU,2021-08-03 00:04:40,-15.7667,128.7333,78.78,34,69,10.36
153,Madang,PG,2021-08-03 00:04:41,-5.2246,145.7966,83.89,70,99,3.71
154,Ostroda,PL,2021-08-03 00:04:41,53.6967,19.9649,58.75,75,44,10.25
155,Coihaique,CL,2021-08-03 00:04:41,-45.5752,-72.0662,46.35,53,20,5.75
156,Lagoa,PT,2021-08-03 00:04:42,39.05,-27.9833,71.87,92,8,5.7
157,Faanui,PF,2021-08-03 00:04:42,-16.4833,-151.75,78.87,76,70,14.81
158,Solhan,TR,2021-08-03 00:04:43,38.9634,41.0293,68.41,55,9,6.93
159,Bayburt,TR,2021-08-03 00:04:43,40.2589,40.2278,58.17,91,25,2.8
160,Avera,US,2021-08-03 00:04:44,33.194,-82.5271,87.67,48,22,3.38
161,Leningradskiy,RU,2021-08-03 00:04:45,69.3833,178.4167,33.19,100,100,10.22
162,Cattolica,IT,2021-08-03 00:04:45,43.9575,12.7376,73.13,52,65,4.0
163,Saint George,US,2021-08-03 00:02:08,37.1041,-113.5841,104.38,15,1,4.0
164,Klaksvik,FO,2021-08-03 00:04:46,62.2266,-6.589,50.92,86,100,12.01
165,Margate,GB,2021-08-03 00:04:46,51.3813,1.3862,61.03,76,100,1.99
166,Sao Borja,BR,2021-08-03 00:04:46,-28.6606,-56.0044,49.73,66,0,7.56
167,Flinders,AU,2021-08-03 00:04:47,-34.5833,150.8552,62.38,70,44,3.0
168,Teya,RU,2021-08-03 00:04:47,60.3778,92.6267,58.91,82,25,1.72
169,Celestun,MX,2021-08-03 00:04:48,20.8667,-90.4,85.32,69,21,16.28
170,Malinyi,TZ,2021-08-03 00:04:48,-8.9333,36.1333,63.16,71,2,0.74
171,Kavieng,PG,2021-08-03 00:04:49,-2.5744,150.7967,83.86,74,31,10.18
172,Santa Vitoria Do Palmar,BR,2021-08-03 00:04:49,-33.5189,-53.3681,48.88,96,20,5.79
173,Ostrovnoy,RU,2021-08-03 00:04:49,68.0531,39.5131,49.46,99,77,5.66
174,Kahului,US,2021-08-03 00:01:17,20.8947,-156.47,84.97,76,22,17.0
175,Diffa,NE,2021-08-03 00:04:50,13.3154,12.6113,83.19,63,76,6.8
176,Nioki,CD,2021-08-03 00:04:50,-2.7167,17.6833,73.09,39,47,3.27
177,Vila Velha,BR,2021-08-03 00:00:23,-20.3297,-40.2925,72.97,69,27,3.96
178,Carnarvon,AU,2021-08-03 00:04:51,-24.8667,113.6333,50.07,46,0,12.66
179,Bakchar,RU,2021-08-03 00:04:51,57.0186,82.0711,56.61,95,100,1.25
180,Upernavik,GL,2021-08-03 00:04:52,72.7868,-56.1549,46.99,68,57,2.53
181,Tura,IN,2021-08-03 00:04:52,25.5198,90.2201,74.17,98,100,3.76
182,Qasigiannguit,GL,2021-08-03 00:04:53,68.8193,-51.1922,46.65,83,96,7.54
183,San Patricio,US,2021-08-03 00:04:53,28.017,-97.5169,89.69,55,54,12.91
184,Manono,CD,2021-08-03 00:04:54,-7.3,27.4167,70.66,40,3,3.31
185,Qaqortoq,GL,2021-08-03 00:04:54,60.7167,-46.0333,50.5,97,95,3.33
186,Simao,CN,2021-08-03 00:04:55,22.7886,100.9748,65.95,98,56,0.89
187,Rio Gallegos,AR,2021-08-03 00:01:51,-51.6226,-69.2181,40.33,76,17,35.66
188,Bima,ID,2021-08-03 00:04:55,-8.4667,118.7167,80.64,76,34,4.97
189,Kabare,CD,2021-08-03 00:04:56,-2.4683,28.8242,62.65,68,41,1.07
190,Poso,ID,2021-08-03 00:04:56,-1.3959,120.7524,80.02,79,70,2.89
191,Pamanukan,ID,2021-08-03 00:04:57,-6.2842,107.8106,76.05,81,72,4.83
192,Williams Lake,CA,2021-08-03 00:02:14,52.1415,-122.1445,65.77,88,35,1.23
193,Bereda,ES,2021-08-03 00:04:57,43.2686,-7.5406,56.95,100,40,1.41
194,Palu,ID,2021-08-03 00:04:58,-0.8917,119.8707,80.24,85,90,2.1
195,Lavrentiya,RU,2021-08-03 00:04:59,65.5833,-171.0,45.16,99,100,8.03
196,Cayenne,GF,2021-08-03 00:04:59,4.9333,-52.3333,79.09,86,31,1.01
197,Ribeira Grande,PT,2021-08-03 00:04:59,38.5167,-28.7,73.31,92,52,7.05
198,Tsumeb,NA,2021-08-03 00:05:00,-19.2333,17.7167,59.9,34,0,8.7
199,Cap Malheureux,MU,2021-08-03 00:05:00,-19.9842,57.6142,68.88,65,0,4.52
200,Kalemie,CD,2021-08-03 00:05:01,-5.9475,29.1947,69.1,60,2,1.97
201,Gbadolite,CD,2021-08-03 00:05:01,4.2833,21.0167,68.23,92,75,1.16
202,Wattegama,LK,2021-08-03 00:05:01,6.7989,81.4808,75.97,69,100,4.94
203,Podor,MR,2021-08-03 00:05:02,16.6527,-14.9587,84.92,66,97,14.36
204,Dire,ML,2021-08-03 00:05:03,12.2833,-10.9667,72.34,97,95,2.77
205,Codrington,AU,2021-08-03 00:05:03,-38.2667,141.9667,50.27,77,95,16.13
206,Monrovia,LR,2021-08-03 00:05:04,6.3005,-10.7969,76.19,75,37,6.2
207,Vanimo,PG,2021-08-03 00:05:04,-2.6741,141.3028,84.24,69,80,7.63
208,Ocos,GT,2021-08-03 00:05:04,14.5094,-92.1933,88.32,73,87,6.06
209,Bagdarin,RU,2021-08-03 00:05:05,54.4333,113.6,58.98,76,35,1.19
210,Thompson,CA,2021-08-03 00:05:05,55.7435,-97.8558,80.49,33,34,4.05
211,Asfi,MA,2021-08-03 00:00:07,32.2994,-9.2372,67.82,90,0,13.42
212,Svobodnyy,RU,2021-08-03 00:05:06,51.4,128.1333,64.38,87,100,7.16
213,Bengkulu,ID,2021-08-03 00:05:06,-3.8004,102.2655,75.09,85,70,3.4
214,Los Llanos De Aridane,ES,2021-08-03 00:05:07,28.6585,-17.9182,69.55,92,90,11.5
215,Rawson,AR,2021-08-03 00:05:07,-43.3002,-65.1023,57.74,35,37,10.02
216,Lorengau,PG,2021-08-03 00:05:08,-2.0226,147.2712,83.14,78,25,9.17
217,Longyearbyen,SJ,2021-08-03 00:05:08,78.2186,15.6401,46.24,71,75,21.85
218,Kilgore,US,2021-08-03 00:02:58,32.3863,-94.8758,79.45,83,40,3.44
219,Esperance,AU,2021-08-03 00:05:09,-33.8667,121.9,52.23,78,97,13.6
220,Sur,OM,2021-08-03 00:05:09,22.5667,59.5289,87.37,57,80,9.46
221,Savannah Bight,HN,2021-08-03 00:05:10,16.45,-85.85,82.99,81,10,20.33
222,Khandyga,RU,2021-08-03 00:05:10,62.6667,135.6,74.3,39,44,1.99
223,Novikovo,RU,2021-08-03 00:05:11,51.1537,37.8879,67.64,90,77,5.41
224,Guacimo,CR,2021-08-03 00:05:11,10.2104,-83.6807,80.53,97,99,1.1
225,Saldanha,ZA,2021-08-03 00:05:12,-33.0117,17.9442,56.52,70,0,2.64
226,Ghanzi,BW,2021-08-03 00:05:12,-21.5667,21.7833,54.34,30,0,7.23
227,Allapalli,IN,2021-08-03 00:05:13,19.4167,80.0667,75.22,92,80,3.24
228,Chuy,UY,2021-08-03 00:05:14,-33.6971,-53.4616,48.7,95,12,5.88
229,Merauke,ID,2021-08-03 00:01:10,-8.4667,140.3333,78.13,70,45,12.17
230,Hami,CN,2021-08-03 00:05:15,42.8,93.45,77.7,21,2,5.55
231,Baie-Saint-Paul,CA,2021-08-03 00:05:15,47.4411,-70.4986,66.97,57,81,3.0
232,Mongo,TD,2021-08-03 00:05:15,12.1844,18.693,77.34,79,78,4.14
233,Turbat,PK,2021-08-03 00:05:16,26.0023,63.044,83.03,74,50,3.11
234,Saint-Augustin,CA,2021-08-03 00:05:16,51.226,-58.6502,60.46,82,97,9.37
235,Urrao,CO,2021-08-03 00:05:17,6.3152,-76.1342,60.13,95,99,1.34
236,Les Cayes,HT,2021-08-03 00:05:17,18.2,-73.75,79.72,82,84,4.74
237,Port Alfred,ZA,2021-08-03 00:05:18,-33.5906,26.891,56.39,85,23,17.54
238,Madison,US,2021-08-03 00:05:01,34.7334,-86.5667,79.48,78,75,1.99
239,Plerin,FR,2021-08-03 00:05:18,48.5425,-2.7798,53.92,87,0,1.01
240,Saint-Louis,SN,2021-08-03 00:05:19,16.3333,-15.0,83.21,71,100,13.56
241,Buraydah,SA,2021-08-03 00:05:19,26.326,43.975,84.06,11,5,3.67
242,Harper,LR,2021-08-03 00:05:20,4.375,-7.7169,75.79,79,17,4.54
243,Sinnamary,GF,2021-08-03 00:05:20,5.3833,-52.95,78.35,83,46,7.58
244,Fort Smith,US,2021-08-03 00:05:21,35.3859,-94.3986,84.34,67,20,8.05
245,Chegem,RU,2021-08-03 00:05:21,43.2833,43.1333,46.89,78,36,7.25
246,Sitka,US,2021-08-03 00:05:22,57.0531,-135.33,62.49,72,90,12.66
247,Laurel,US,2021-08-03 00:05:22,39.0993,-76.8483,78.51,63,1,0.0
248,Bambous Virieux,MU,2021-08-03 00:05:22,-20.3428,57.7575,66.36,72,1,4.54
249,Cabadiangan,PH,2021-08-03 00:05:23,9.7531,122.4739,83.17,82,100,13.15
250,Humaita,BR,2021-08-03 00:05:23,-7.5061,-63.0208,82.56,35,57,2.62
251,Jinka,ET,2021-08-03 00:05:24,5.65,36.65,64.31,60,88,2.89
252,Sarangani,PH,2021-08-03 00:05:24,5.4033,125.4636,83.8,75,74,13.8
253,Kampong Thum,KH,2021-08-03 00:05:25,12.7111,104.8887,79.54,79,100,2.35
254,Yeppoon,AU,2021-08-03 00:05:25,-23.1333,150.7333,72.79,60,0,8.43
255,Villa Bruzual,VE,2021-08-03 00:05:25,9.3328,-69.1208,71.47,97,49,4.7
256,Natal,BR,2021-08-03 00:01:17,-5.795,-35.2094,74.16,84,11,11.21
257,Cruzeiro Do Sul,BR,2021-08-03 00:05:26,-29.5128,-51.9853,53.51,92,0,0.67
258,Yatou,CN,2021-08-03 00:05:26,37.15,122.3833,78.37,79,6,3.87
259,Arua,UG,2021-08-03 00:05:27,3.0201,30.9111,61.2,91,23,3.11
260,Oga,IT,2021-08-03 00:05:27,46.4631,10.347,49.8,90,64,1.3
261,Arraial Do Cabo,BR,2021-08-03 00:05:28,-22.9661,-42.0278,68.58,80,0,18.28
262,Laem Sing,TH,2021-08-03 00:05:28,12.4816,102.0738,81.34,85,100,12.48
263,Sayaxche,GT,2021-08-03 00:05:29,16.5167,-90.1667,78.94,85,69,1.83
264,Mlonggo,ID,2021-08-03 00:05:29,-6.5333,110.7,76.89,77,60,8.34
265,Valley City,US,2021-08-03 00:05:30,46.9233,-98.0032,88.79,34,1,5.75
266,Caravelas,BR,2021-08-03 00:05:30,-17.7125,-39.2481,66.42,78,82,4.18
267,Ucluelet,CA,2021-08-03 00:04:17,48.9329,-125.5528,93.04,74,11,1.99
268,Maputo,MZ,2021-08-03 00:02:02,-25.9653,32.5892,62.22,87,4,5.12
269,Cherskiy,RU,2021-08-03 00:05:31,68.75,161.3,45.77,52,77,17.87
270,Tiksi,RU,2021-08-03 00:05:31,71.6872,128.8694,50.9,60,51,5.21
271,Axim,GH,2021-08-03 00:05:32,4.8699,-2.2405,76.5,87,64,5.97
272,Galveston,US,2021-08-03 00:05:32,29.3669,-94.9669,92.14,79,1,1.99
273,Palmer,US,2021-08-03 00:05:33,42.1584,-72.3287,73.0,61,20,4.61
274,San Francisco,US,2021-08-03 00:05:09,37.7749,-122.4194,94.37,67,75,8.99
275,Dunedin,NZ,2021-08-03 00:00:38,-45.8742,170.5036,47.8,68,100,15.99
276,Taguatinga,BR,2021-08-03 00:05:33,-12.3857,-46.5711,72.21,34,22,6.87
277,Sandane,NO,2021-08-03 00:05:34,61.7728,6.215,52.3,95,20,3.69
278,Moron,AR,2021-08-03 00:02:26,-34.6534,-58.6198,52.99,79,0,4.65
279,Kosa,RU,2021-08-03 00:05:34,59.9445,54.9977,57.56,95,69,2.39
280,Saint Anthony,US,2021-08-03 00:05:35,45.0205,-93.218,82.94,42,20,1.01
281,Amapa,BR,2021-08-03 00:05:35,1.0,-52.0,76.01,70,69,2.28
282,Aksarka,RU,2021-08-03 00:05:36,66.5606,67.7975,53.55,85,93,4.21
283,Marystown,CA,2021-08-03 00:04:07,47.1666,-55.1483,60.3,91,100,11.79
