City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
387,Isangel,VU,74.53,-19.55,169.2667,Tanna Lodge
388,Sao Joao Da Barra,BR,68.63,-21.6403,-41.0511,Pousada Porto De Canoas
389,Farah,AF,77.58,32.5,62.5,
391,Vanavara,RU,60.69,60.34,102.2797,
392,Terrasini,IT,85.46,38.146,13.0844,Florio Park Hotel
393,Halifax,CA,60.69,44.6453,-63.5724,Hotel Halifax
394,Umm Kaddadah,SD,79.84,13.6017,26.6876,
397,Kongolo,CD,74.23,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
398,Mumford,GH,75.96,5.2618,-0.759,Spanish Villa
399,Kishtwar,IN,63.86,33.3167,75.7667,Heritage Bagh by Himalayan Musk
400,Amga,RU,62.89,60.8953,131.9608,Algys
401,Correntina,BR,66.38,-13.3433,-44.6367,Hotel Pousada dos Sonhos
402,Gimli,CA,88.43,50.6336,-96.9907,Lakeview Gimli Resort
403,Hays,US,82.81,30.0502,-98.0336,Sinya on Lone Man Creek
407,Umm Lajj,SA,89.44,25.0213,37.2685,Moon light Furnished Units
409,Ilhabela,BR,62.92,-23.7781,-45.3581,Ilha Flat Hotel
410,Warwick,US,74.28,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
412,Sao Paulo Do Potengi,BR,72.39,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
414,Hamilton,US,75.88,39.1834,-84.5333,Six Acres Bed & Breakfast
416,Alta Floresta,BR,79.52,-9.8756,-56.0861,Floresta Amazonica Hotel
417,College,US,86.58,64.8569,-147.8028,Pike's Waterfront Lodge
420,Russell,US,74.91,32.3502,-85.1999,Macs
422,Brooks,CA,78.04,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
423,Hualmay,PE,64.24,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
424,Puerto Escondido,MX,86.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
425,Sosua,DO,82.53,19.7667,-70.5167,Piergiorgio Palace Hotel
427,Saurimo,AO,61.32,-9.6608,20.3916,Hotel Kawissa Saurimo
430,Jasper,US,80.65,37.2001,-94.3502,Guest House Motel
431,Indramayu,ID,78.44,-6.3264,108.32,Grand Trisula Hotel
434,Port Hardy,CA,63.34,50.6996,-127.4199,Airport Inn
435,Aleppo,SY,81.34,36.25,37.5,
437,Saint-Raphael,HT,74.28,19.4333,-72.2,Adouly Hôtel
438,Puerto Cabezas,NI,79.39,14.0351,-83.3888,Cabaña Caribe
440,Pocone,BR,72.18,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
441,Saint-Felicien,CA,62.31,48.6501,-72.4491,Hôtel du Jardin
442,Muros,ES,61.09,42.7762,-9.0603,Apartment Av. Castelao
443,Aykhal,RU,69.37,66.0,111.5,
444,Mwanza,TZ,69.64,-2.5167,32.9,Gold Crest Hotel
445,Contepec,MX,63.28,20.0167,-100.1167,"Centro Ecoturístico ""El Borbollón"""
